dataset,n_keys,drift_type,drift_detected,detection_query,true_drift_start,detection_delay,psi_at_detection,ewma_at_detection,repair_time_ms,mean_ns_pre_drift,mean_ns_during_drift,mean_ns_post_repair,p99_ns_pre_drift,p99_ns_during_drift,p99_ns_post_repair,throughput_pre,throughput_during,throughput_post,mean_err_pre_drift,mean_err_during_drift,mean_err_post_repair,mean_ns_post_clean,p99_ns_post_clean,throughput_post_clean,mean_err_post_clean,is_false_positive,is_false_negative
WikiTS,700000,Sudden_50pct,1,200031,200000,31,56.818,5.339,3.377,214.010,105593.750,2100.340,600.000,2330399.000,100.000,4.673,0.009,0.476,2.725,0.000,0.000,260.339,600.000,3.841,2.721,0,0
WikiTS,700000,Mixed,1,250031,200000,50031,52.558,5.325,3.830,207.069,205.848,1200.922,600.000,600.000,500.000,4.829,4.858,0.833,2.725,2.720,2.706,255.788,600.000,3.909,2.721,0,0
Books,1001000,Stable,0,-1,-1,0,0.000,0.000,0.000,234.542,223.750,234.542,600.000,600.000,600.000,4.264,4.469,4.264,2.793,2.789,0.000,0.000,0.000,0.000,0.000,0,0
Books,1001000,Gradual,1,508287,500000,8287,51.168,4.842,6.447,220.035,997.273,1071.718,600.000,600.000,600.000,4.545,1.003,0.933,2.793,2.798,2.797,293.325,600.000,3.409,2.807,0,0
Books,1001000,Sudden_25pct,1,500111,500000,111,56.972,5.409,6.632,229.020,59405.357,2895.624,600.000,956.000,600.000,4.366,0.017,0.345,2.793,2.976,2.799,313.544,600.000,3.189,2.807,0,0
Books,1001000,Sudden_50pct,1,500031,500000,31,52.389,5.168,6.507,227.255,203396.875,2613.881,600.000,4489823.000,100.000,4.400,0.005,0.383,2.793,0.000,0.000,338.542,800.000,2.954,2.807,0,0
Books,1001000,Mixed,1,550031,500000,50031,52.980,5.764,6.404,248.743,226.824,1678.109,700.000,600.000,500.000,4.020,4.409,0.596,2.793,2.789,2.784,352.912,600.000,2.834,2.807,0,0
Facebook,1001000,Stable,0,-1,-1,0,0.000,0.000,0.000,301.618,293.828,301.618,800.000,700.000,800.000,3.315,3.403,3.315,2.991,3.002,0.000,0.000,0.000,0.000,0.000,0,0
Facebook,1001000,Gradual,1,536111,500000,36111,63.529,5.829,6.109,268.192,452.789,2043.026,700.000,700.000,700.000,3.729,2.209,0.489,2.991,2.985,2.996,402.966,800.000,2.482,2.993,0,0
Facebook,1001000,Sudden_25pct,1,500111,500000,111,56.879,5.977,5.885,314.597,52761.607,4221.424,800.000,689.000,700.000,3.179,0.019,0.237,2.991,2.776,2.993,271.063,700.000,3.689,2.993,0,0
Facebook,1001000,Sudden_50pct,1,500031,500000,31,55.947,5.995,5.751,264.424,179759.375,4047.366,700.000,3968014.000,100.000,3.782,0.006,0.247,2.991,0.000,0.000,343.391,700.000,2.912,2.993,0,0
Facebook,1001000,Mixed,1,550031,500000,50031,53.898,6.023,6.233,260.008,268.366,2128.907,700.000,700.000,600.000,3.846,3.726,0.470,2.991,3.002,2.991,341.155,700.000,2.931,2.993,0,0
WikiTS,1001000,Stable,0,-1,-1,0,0.000,0.000,0.000,266.446,228.446,266.446,700.000,600.000,700.000,3.753,4.377,3.753,2.760,2.756,0.000,0.000,0.000,0.000,0.000,0,0
WikiTS,1001000,Gradual,1,535999,500000,35999,50.231,5.064,6.608,235.053,411.267,1656.412,600.000,600.000,600.000,4.254,2.432,0.604,2.760,2.751,2.769,319.988,700.000,3.125,2.755,0,0
WikiTS,1001000,Sudden_25pct,1,500175,500000,175,72.290,6.068,6.962,271.886,39730.682,3145.463,700.000,500.000,600.000,3.678,0.025,0.318,2.760,2.632,2.771,238.991,600.000,4.184,2.755,0,0
WikiTS,1001000,Sudden_50pct,1,500031,500000,31,52.509,5.465,6.574,253.029,205487.500,3067.140,700.000,4536191.000,100.000,3.952,0.005,0.326,2.760,0.000,0.000,294.626,600.000,3.394,2.754,0,0
WikiTS,1001000,Mixed,1,550031,500000,50031,52.500,5.068,6.620,232.048,226.836,1772.688,600.000,600.000,500.000,4.309,4.408,0.564,2.760,2.756,2.773,289.866,600.000,3.450,2.754,0,0
