Dataset,n_keys,Scenario,Stage,Latency_ns,P99_ns,Throughput_Mops,Error_mean_abs
WikiTS,700000,Gradual,Pre-drift,213.019,600.000,4.6944,2.7250
WikiTS,700000,Gradual,During-drift,485.543,600.000,2.0596,2.7313
WikiTS,700000,Gradual,After-repair,1847.382,600.000,0.5413,2.7132
WikiTS,700000,Gradual,After-repair (clean),263.245,600.000,3.7987,2.7209
WikiTS,700000,Sudden 25pct,Pre-drift,223.862,600.000,4.4670,2.7250
WikiTS,700000,Sudden 25pct,During-drift,43065.000,720758.000,0.0232,2.2273
WikiTS,700000,Sudden 25pct,After-repair,2275.065,600.000,0.4395,2.7079
WikiTS,700000,Sudden 25pct,After-repair (clean),218.664,600.000,4.5732,2.7208
WikiTS,700000,Sudden 50pct,Pre-drift,214.010,600.000,4.6727,2.7250
WikiTS,700000,Sudden 50pct,During-drift,105593.750,2330399.000,0.0095,0.0000
WikiTS,700000,Sudden 50pct,After-repair,2100.340,100.000,0.4761,0.0000
WikiTS,700000,Sudden 50pct,After-repair (clean),260.339,600.000,3.8411,2.7211
WikiTS,700000,Mixed,Pre-drift,207.069,600.000,4.8293,2.7250
WikiTS,700000,Mixed,During-drift,205.848,600.000,4.8580,2.7202
WikiTS,700000,Mixed,After-repair,1200.922,500.000,0.8327,2.7056
WikiTS,700000,Mixed,After-repair (clean),255.788,600.000,3.9095,2.7211
Books,1001000,Gradual,Pre-drift,220.035,600.000,4.5447,2.7928
Books,1001000,Gradual,During-drift,997.273,600.000,1.0027,2.7978
Books,1001000,Gradual,After-repair,1071.718,600.000,0.9331,2.7969
Books,1001000,Gradual,After-repair (clean),293.325,600.000,3.4092,2.8068
Books,1001000,Sudden 25pct,Pre-drift,229.020,600.000,4.3664,2.7928
Books,1001000,Sudden 25pct,During-drift,59405.357,956.000,0.0168,2.9765
Books,1001000,Sudden 25pct,After-repair,2895.624,600.000,0.3453,2.7994
Books,1001000,Sudden 25pct,After-repair (clean),313.544,600.000,3.1893,2.8068
Books,1001000,Sudden 50pct,Pre-drift,227.255,600.000,4.4003,2.7928
Books,1001000,Sudden 50pct,During-drift,203396.875,4489823.000,0.0049,0.0000
Books,1001000,Sudden 50pct,After-repair,2613.881,100.000,0.3826,0.0000
Books,1001000,Sudden 50pct,After-repair (clean),338.542,800.000,2.9538,2.8068
Books,1001000,Mixed,Pre-drift,248.743,700.000,4.0202,2.7928
Books,1001000,Mixed,During-drift,226.824,600.000,4.4087,2.7892
Books,1001000,Mixed,After-repair,1678.109,500.000,0.5959,2.7839
Books,1001000,Mixed,After-repair (clean),352.912,600.000,2.8336,2.8068
Facebook,1001000,Gradual,Pre-drift,268.192,700.000,3.7287,2.9908
Facebook,1001000,Gradual,During-drift,452.789,700.000,2.2085,2.9850
Facebook,1001000,Gradual,After-repair,2043.026,700.000,0.4895,2.9956
Facebook,1001000,Gradual,After-repair (clean),402.966,800.000,2.4816,2.9927
Facebook,1001000,Sudden 25pct,Pre-drift,314.597,800.000,3.1787,2.9908
Facebook,1001000,Sudden 25pct,During-drift,52761.607,689.000,0.0190,2.7765
Facebook,1001000,Sudden 25pct,After-repair,4221.424,700.000,0.2369,2.9934
Facebook,1001000,Sudden 25pct,After-repair (clean),271.063,700.000,3.6892,2.9926
Facebook,1001000,Sudden 50pct,Pre-drift,264.424,700.000,3.7818,2.9908
Facebook,1001000,Sudden 50pct,During-drift,179759.375,3968014.000,0.0056,0.0000
Facebook,1001000,Sudden 50pct,After-repair,4047.366,100.000,0.2471,0.0000
Facebook,1001000,Sudden 50pct,After-repair (clean),343.391,700.000,2.9121,2.9926
Facebook,1001000,Mixed,Pre-drift,260.008,700.000,3.8460,2.9908
Facebook,1001000,Mixed,During-drift,268.366,700.000,3.7263,3.0023
Facebook,1001000,Mixed,After-repair,2128.907,600.000,0.4697,2.9915
Facebook,1001000,Mixed,After-repair (clean),341.155,700.000,2.9312,2.9926
WikiTS,1001000,Gradual,Pre-drift,235.053,600.000,4.2544,2.7602
WikiTS,1001000,Gradual,During-drift,411.267,600.000,2.4315,2.7509
WikiTS,1001000,Gradual,After-repair,1656.412,600.000,0.6037,2.7689
WikiTS,1001000,Gradual,After-repair (clean),319.988,700.000,3.1251,2.7546
WikiTS,1001000,Sudden 25pct,Pre-drift,271.886,700.000,3.6780,2.7602
WikiTS,1001000,Sudden 25pct,During-drift,39730.682,500.000,0.0252,2.6316
WikiTS,1001000,Sudden 25pct,After-repair,3145.463,600.000,0.3179,2.7708
WikiTS,1001000,Sudden 25pct,After-repair (clean),238.991,600.000,4.1843,2.7546
WikiTS,1001000,Sudden 50pct,Pre-drift,253.029,700.000,3.9521,2.7602
WikiTS,1001000,Sudden 50pct,During-drift,205487.500,4536191.000,0.0049,0.0000
WikiTS,1001000,Sudden 50pct,After-repair,3067.140,100.000,0.3260,0.0000
WikiTS,1001000,Sudden 50pct,After-repair (clean),294.626,600.000,3.3941,2.7541
WikiTS,1001000,Mixed,Pre-drift,232.048,600.000,4.3095,2.7602
WikiTS,1001000,Mixed,During-drift,226.836,600.000,4.4085,2.7556
WikiTS,1001000,Mixed,After-repair,1772.688,500.000,0.5641,2.7731
WikiTS,1001000,Mixed,After-repair (clean),289.866,600.000,3.4499,2.7541
